Iteration,Error
0,1.00358
1,0.00294011
2,0.00146091
3,4.02385e-05
4,3.8905e-05
5,3.86716e-05
6,3.85697e-05
7,3.84962e-05
8,3.84635e-05
9,3.846e-05
10,3.84826e-05
11,3.85267e-05
12,3.85932e-05
13,3.86769e-05
14,3.87816e-05
15,3.89018e-05
16,3.90395e-05
17,3.91944e-05
18,3.93626e-05
19,3.95456e-05
20,3.97425e-05
21,3.9951e-05
22,4.0173e-05
23,4.04052e-05
24,4.06475e-05
25,4.09007e-05
26,4.11618e-05
27,4.14306e-05
28,4.17066e-05
29,4.19876e-05
30,4.22757e-05
31,4.25687e-05
32,4.28655e-05
33,4.31657e-05
34,4.34695e-05
35,4.3775e-05
36,4.40818e-05
37,4.43885e-05
38,4.46963e-05
39,4.50027e-05
40,4.53085e-05
41,4.56127e-05
42,4.5914e-05
43,4.62129e-05
44,4.65082e-05
45,4.68001e-05
46,4.70884e-05
47,4.73713e-05
48,4.76485e-05
49,4.79208e-05
50,4.8187e-05
51,4.84473e-05
52,4.87005e-05
53,4.89465e-05
54,4.91854e-05
55,4.94166e-05
56,4.96398e-05
57,4.98547e-05
58,5.00609e-05
59,5.02589e-05
60,5.04486e-05
61,5.06301e-05
62,5.08027e-05
63,5.09664e-05
64,5.11212e-05
65,5.12674e-05
66,5.14046e-05
67,5.15327e-05
68,5.16521e-05
69,5.17625e-05
70,5.18635e-05
71,5.19558e-05
72,5.20395e-05
73,5.21147e-05
74,5.21813e-05
75,5.22396e-05
76,5.22897e-05
77,5.23318e-05
78,5.23664e-05
79,5.23935e-05
80,5.24129e-05
81,5.24251e-05
82,5.24304e-05
83,5.24292e-05
84,5.24213e-05
85,5.24068e-05
86,5.23861e-05
87,5.23595e-05
88,5.2327e-05
89,5.22889e-05
90,5.22452e-05
91,5.21961e-05
92,5.21418e-05
93,5.20826e-05
94,5.20184e-05
95,5.19497e-05
96,5.18766e-05
97,5.17995e-05
98,5.17187e-05
99,5.16344e-05
100,5.15468e-05
101,5.14561e-05
102,5.13626e-05
103,5.12667e-05
104,5.11683e-05
105,5.10679e-05
106,5.09655e-05
107,5.08611e-05
108,5.0755e-05
109,5.06473e-05
110,5.0538e-05
111,5.04272e-05
112,5.03152e-05
113,5.02018e-05
114,5.00874e-05
115,4.9972e-05
116,4.98557e-05
117,4.97385e-05
118,4.96206e-05
119,4.95021e-05
120,4.93831e-05
121,4.92637e-05
122,4.91438e-05
123,4.90238e-05
124,4.89035e-05
125,4.87832e-05
126,4.86628e-05
127,4.85425e-05
128,4.84223e-05
129,4.83024e-05
130,4.81827e-05
131,4.80634e-05
132,4.79444e-05
133,4.78259e-05
134,4.77078e-05
135,4.75901e-05
136,4.74728e-05
137,4.7356e-05
138,4.72396e-05
139,4.71237e-05
140,4.70084e-05
141,4.68935e-05
142,4.67792e-05
143,4.66655e-05
144,4.65526e-05
145,4.64406e-05
146,4.63295e-05
147,4.62194e-05
148,4.61104e-05
149,4.60025e-05
150,4.58958e-05
