Iteration,Error
0,1.00357
1,0.00294055
2,0.00146145
3,5.47529e-05
4,5.24342e-05
5,5.13123e-05
6,5.05645e-05
7,5.00195e-05
8,4.96341e-05
9,4.93611e-05
10,4.91682e-05
11,4.90458e-05
12,4.89676e-05
13,4.89131e-05
14,4.88972e-05
15,4.89311e-05
16,4.90009e-05
17,4.9093e-05
18,4.92072e-05
19,4.93453e-05
20,4.95083e-05
21,4.96945e-05
22,4.9901e-05
23,5.0126e-05
24,5.03692e-05
25,5.0633e-05
26,5.09194e-05
27,5.12263e-05
28,5.15482e-05
29,5.18803e-05
30,5.22207e-05
31,5.25694e-05
32,5.2925e-05
33,5.3284e-05
34,5.36459e-05
35,5.4011e-05
36,5.43799e-05
37,5.47518e-05
38,5.51236e-05
39,5.54923e-05
40,5.58553e-05
41,5.62118e-05
42,5.65618e-05
43,5.69058e-05
44,5.72452e-05
45,5.75794e-05
46,5.79094e-05
47,5.82346e-05
48,5.85558e-05
49,5.88731e-05
50,5.91874e-05
51,5.94979e-05
52,5.98023e-05
53,6.00991e-05
54,6.03857e-05
55,6.06604e-05
56,6.09227e-05
57,6.11729e-05
58,6.14126e-05
59,6.16434e-05
60,6.18661e-05
61,6.20808e-05
62,6.22876e-05
63,6.2486e-05
64,6.26755e-05
65,6.28555e-05
66,6.30252e-05
67,6.31839e-05
68,6.33305e-05
69,6.34651e-05
70,6.35875e-05
71,6.36979e-05
72,6.37974e-05
73,6.38868e-05
74,6.39673e-05
75,6.40392e-05
76,6.41029e-05
77,6.41577e-05
78,6.42038e-05
79,6.42415e-05
80,6.42701e-05
81,6.42901e-05
82,6.43018e-05
83,6.43061e-05
84,6.4304e-05
85,6.42965e-05
86,6.42845e-05
87,6.42676e-05
88,6.42445e-05
89,6.42137e-05
90,6.41742e-05
91,6.41258e-05
92,6.40703e-05
93,6.4011e-05
94,6.39521e-05
95,6.38979e-05
96,6.38515e-05
97,6.38127e-05
98,6.37822e-05
99,6.37567e-05
100,6.37317e-05
101,6.3702e-05
102,6.3663e-05
103,6.36114e-05
104,6.3546e-05
105,6.34672e-05
106,6.33772e-05
107,6.32787e-05
108,6.31744e-05
109,6.30672e-05
110,6.29593e-05
111,6.28531e-05
112,6.27505e-05
113,6.26535e-05
114,6.25636e-05
115,6.24817e-05
116,6.24075e-05
117,6.23396e-05
118,6.22757e-05
119,6.22134e-05
120,6.21499e-05
121,6.20829e-05
122,6.20102e-05
123,6.19303e-05
124,6.18424e-05
125,6.17457e-05
126,6.16406e-05
127,6.15302e-05
128,6.14176e-05
129,6.13059e-05
130,6.1198e-05
131,6.10969e-05
132,6.10045e-05
133,6.09215e-05
134,6.08471e-05
135,6.07803e-05
136,6.07197e-05
137,6.06638e-05
138,6.06107e-05
139,6.05586e-05
140,6.05055e-05
141,6.04501e-05
142,6.03911e-05
143,6.03285e-05
144,6.02633e-05
145,6.01972e-05
146,6.01325e-05
147,6.00718e-05
148,6.00164e-05
149,5.99672e-05
150,5.99235e-05
