"Velocity:0","Velocity:1","Pressure","Points:0","Points:1","Points:2"
0.91738,-0.97693,-0.39333,-0.36448,-0.34227,0
0.68048,-0.93665,-0.15063,-0.40451,-0.29389,0
1.1606,-0.96015,-0.64105,-0.31871,-0.38526,0
0.45675,-0.83087,0.063938,-0.43815,-0.24088,0
1.3915,-0.88309,-0.88646,-0.26791,-0.42216,0
0.26883,-0.67907,0.25449,-0.46489,-0.18406,0
1.5969,-0.75148,-1.0949,-0.21289,-0.45241,0
0.12112,-0.47184,0.38689,-0.48429,-0.12434,0
1.7567,-0.57077,-1.2879,-0.15451,-0.47553,0
0.031537,-0.24988,0.47606,-0.49606,-0.062667,0
1.869,-0.35655,-1.4037,-0.093691,-0.49114,0
-2.6844e-05,-0.022745,0.51531,-0.5,-1.2741e-15,0
1.9207,-0.12083,-1.4767,-0.031395,-0.49901,0
1.9038,0.11977,-1.4412,0.031395,-0.49901,0
1.8335,0.34977,-1.3807,0.093691,-0.49114,0
0.030241,0.23969,0.47716,-0.49606,0.062667,0
0.12422,0.48389,0.39044,-0.48429,0.12434,0
1.7041,0.55369,-1.2725,0.15451,-0.47553,0
0.26887,0.67916,0.25161,-0.46489,0.18406,0
0.45985,0.83652,0.063542,-0.43815,0.24088,0
1.5215,0.716,-1.0964,0.21289,-0.45241,0
1.2985,0.8241,-0.88759,0.26791,-0.42216,0
0.67736,0.93235,-0.15877,-0.40451,0.29389,0
1.058,0.87532,-0.64525,0.31871,-0.38526,0
0.80569,0.858,-0.40407,0.36448,-0.34227,0
0.91693,0.97646,-0.39278,-0.36448,0.34227,0
1.1613,0.96073,-0.64684,-0.31871,0.38526,0
0.34447,0.62664,0.026587,0.43815,-0.24088,0
0.56188,0.77342,-0.16576,0.40451,-0.29389,0
0.17523,0.44267,0.17011,0.46489,-0.18406,0
1.395,0.88534,-0.88801,-0.26791,0.42216,0
0.055275,0.2154,0.27762,0.48429,-0.12434,0
1.5953,0.75071,-1.1028,-0.21289,0.45241,0
0.0020387,0.016309,0.30451,0.49606,-0.062667,0
1.7605,0.57204,-1.2789,-0.15451,0.47553,0
1.8708,0.35688,-1.4081,-0.093691,0.49114,0
1.9237,0.12103,-1.4717,-0.031395,0.49901,0
1.9071,-0.11999,-1.478,0.031395,0.49901,0
1.8345,-0.34995,-1.3671,0.093691,0.49114,0
0.80134,-0.85339,-0.40497,0.36448,0.34227,0
0.56068,-0.77175,-0.17262,0.40451,0.29389,0
1.1681e-05,-0.0229,0.3189,0.5,0,0
0.35386,-0.64373,0.03247,0.43815,0.24088,0
0.012558,-0.099652,0.29636,0.49606,0.062667,0
0.18249,-0.46099,0.16736,0.46489,0.18406,0
0.075016,-0.29224,0.26642,0.48429,0.12434,0
1.0541,-0.87206,-0.65702,0.31871,0.38526,0
1.2997,-0.82484,-0.89269,0.26791,0.42216,0
1.7001,-0.5524,-1.2725,0.15451,0.47553,0
1.5187,-0.71467,-1.1081,0.21289,0.45241,0
