Iteration,Error
0,1.01451
1,0.000760041
2,0.000387517
3,9.34046e-05
4,9.13703e-05
5,9.00115e-05
6,8.89912e-05
7,8.8221e-05
8,8.7598e-05
9,8.70726e-05
10,8.66787e-05
11,8.64232e-05
12,8.62631e-05
13,8.61809e-05
14,8.61786e-05
15,8.62304e-05
16,8.63105e-05
17,8.6425e-05
18,8.66012e-05
19,8.68436e-05
20,8.71243e-05
21,8.74253e-05
22,8.77603e-05
23,8.81432e-05
24,8.85642e-05
25,8.9011e-05
26,8.94852e-05
27,8.99878e-05
28,9.05098e-05
29,9.10425e-05
30,9.15863e-05
31,9.21456e-05
32,9.2719e-05
33,9.33008e-05
34,9.38867e-05
35,9.44762e-05
36,9.50665e-05
37,9.56551e-05
38,9.62401e-05
39,9.68227e-05
40,9.74093e-05
41,9.80039e-05
42,9.86063e-05
43,9.92101e-05
44,9.9806e-05
45,0.000100387
46,0.00010095
47,0.000101495
48,0.000102023
49,0.000102538
50,0.00010304
51,0.000103531
52,0.00010401
53,0.000104473
54,0.000104918
55,0.00010534
56,0.00010574
57,0.000106117
58,0.000106472
59,0.000106808
60,0.000107126
61,0.00010743
62,0.000107719
63,0.000107996
64,0.00010826
65,0.000108512
66,0.000108751
67,0.000108976
68,0.000109185
69,0.000109378
70,0.000109556
71,0.000109719
72,0.000109868
73,0.000110007
74,0.000110134
75,0.00011025
76,0.000110355
77,0.000110446
78,0.000110522
79,0.00011058
80,0.00011062
81,0.000110641
82,0.000110644
83,0.000110629
84,0.000110599
85,0.000110555
86,0.000110502
87,0.000110441
88,0.000110376
89,0.00011031
90,0.000110243
91,0.000110177
92,0.000110112
93,0.000110048
94,0.000109986
95,0.000109926
96,0.000109868
97,0.000109809
98,0.000109749
99,0.000109685
100,0.000109612
101,0.000109531
102,0.000109439
103,0.000109339
104,0.000109232
105,0.000109122
106,0.000109012
107,0.000108905
108,0.000108802
109,0.000108703
110,0.000108607
111,0.000108512
112,0.000108418
113,0.000108322
114,0.000108224
115,0.000108126
116,0.000108028
117,0.00010793
118,0.000107835
119,0.000107743
120,0.000107655
121,0.000107573
122,0.000107498
123,0.000107431
124,0.000107374
125,0.000107327
126,0.00010729
127,0.00010726
128,0.000107237
129,0.000107218
130,0.000107201
131,0.000107184
132,0.000107169
133,0.000107155
134,0.000107143
135,0.000107135
136,0.000107131
137,0.000107131
138,0.000107134
139,0.000107141
140,0.000107152
141,0.000107169
142,0.000107195
143,0.00010723
144,0.000107278
145,0.00010734
146,0.000107415
147,0.000107503
148,0.000107602
149,0.000107708
150,0.000107818
